央视,#genre#
CCTV1,http://39.135.153.79:80/wh7f454c46tw1290033126_782762127/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226691/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EsrJ_iR7G7HOiKz4n47NTsw%7E9cdTq6ROEGOEOJbDNP_HB_cTLzC2J-UFquMLTMbVZDI0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203204704%2C1136805%2C111.47.245.93%2C20250203204704%2CUmaiCHAN111128BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C387383602%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738586871&from=10&hms_devid=4705&online=1738586871&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV2,http://39.135.250.173:80/wh7f454c46tw1246191293_1467501440/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226567/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EOLWbRSl8yrlSbP7BRSWb1A%7E9cdTq6ROEGOEOJbDNP_HB97Zk2tdVSQvVDWzNM0sfnY0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203204511%2C1136805%2C111.47.245.93%2C20250203204511%2CUmaiCHAN5000036BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2CUmaiCHAN5000036BESTVSMGSMG%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738586827&from=10&hms_devid=4715&online=1738586827&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV3,http://39.135.250.174:80/wh7f454c46tw1133169698_-579207919/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226632/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E5jQkmjcctNd6paP7m-Q6XQ%7E9cdTq6ROEGOEOJbDNP_HB-6idQ4PvxDQpNsBmHhqcAA0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203203635%2C1136805%2C111.47.245.93%2C20250203203635%2CUmaiCHAN638727c125355%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C383510492%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738586714&from=10&hms_devid=4715&online=1738586714&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV4,http://39.135.153.72:80/wh7f454c46tw617664036_-1214782878/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226683/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EXGKZxzkb3QJ4vCL7OP5n-w%7E9cdTq6ROEGOEOJbDNP_HB27rO28r5DhHMLNL6ij91lQ0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203203634%2C1136805%2C111.47.245.93%2C20250203203634%2CUmaiCHAN5000037BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C387383192%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738586199&from=10&hms_devid=4707&online=1738586199&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV5,http://39.135.133.3/wh7f454c46tw1985669091_1634636359/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8?icpid=88888888&RTS=1738501667&from=5&hms_devid=1257&online=1738501667&vqe=3
CCTV5,http://39.135.250.165:80/wh7f454c46tw1333188770_264989005/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226640/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EQgfRBpbk5dxv_Eui4GNzkA%7E9cdTq6ROEGOEOJbDNP_HB-6idQ4PvxDQpNsBmHhqcAA0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203203635%2C1136805%2C111.47.245.93%2C20250203203635%2CUmaiCHAN638727e617ca0%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C383510548%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738586914&from=10&hms_devid=4712&online=1738586914&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV5+,http://39.134.67.146/wh7f454c46tw2104925971_-446772319/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8?icpid=88888888&RTS=1738501787&from=5&hms_devid=979&online=1738501787&vqe=3
CCTV5+,http://39.135.250.167:80/wh7f454c46tw1369446605_389464427/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226641/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ex--SHsA27Pm97XxB4QtUUw%7E9cdTq6ROEGOEOJbDNP_HBwhrx8PaHNtFdQ6ex85vzPI0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203204829%2C1136805%2C111.47.245.93%2C20250203204829%2CUmaiCHAN63872908d48f9%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C383510672%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738586950&from=10&hms_devid=4714&online=1738586950&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV6,http://39.135.250.168:80/wh7f454c46tw1417435039_-1761505978/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226643/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E7pQcUcaMXlZL91wivSP94g%7E9cdTq6ROEGOEOJbDNP_HB5RHJj0Ki6zTGyA5HQuQBF40vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203204830%2C1136805%2C111.47.245.93%2C20250203204830%2CUmaiCHAN638728804b1f9%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C383510557%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738586998&from=10&hms_devid=4714&online=1738586998&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV7,http://39.135.153.77:80/wh7f454c46tw1470426318_-191518684/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EuaiVk6fL79yOHNeJuHCBuQ%7E9cdTq6ROEGOEOJbDNP_HBzsew2koiWzGlwm849HMn-c0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203204955%2C1136805%2C111.47.245.93%2C20250203204955%2CUmaiCHAN5000038BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C387384588%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587051&from=10&hms_devid=4706&online=1738587051&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
